object_id,district,timeperiod,area_sqkm,inundation_intensity_mean_nonzero,inundation_intensity_sum,drainage_density,mean_rain,max_rain,total_population,total_households,mean_sex_ratio,schools_count,health_centres_count,rail_length,road_length,net_sown_area_ha,electricity_access,piped_water_households_pct,no_sanitation_households_pct,elderly_population,flood_protection_failures,human_lives_lost,population_affected_total,crop_area,flood_protection_damaged,roads_damaged,bridges_damaged,total_procurement_value,disaster_fund_sanctions_value,disaster_fund_procurement_value
R01-D01-S01,Northmere,2021_01,989.98,0.0,0.0,0.83,58.36,140.48,1301433.0,321836.0,1046.3,73.0,22.0,36.77,1576.02,452.18,0.779,75.71,7.16,149805.0,0.35,2.0,5519.0,32.07,1.12,1.86,0.35,0.0,1232700.0,698228.0
R01-D01-S02,Northmere,2021_01,1614.92,0.0,0.0,1.798,42.4,65.42,222965.0,50094.0,1039.0,136.0,32.0,11.29,1672.71,209.33,0.766,62.44,11.66,19674.0,0.35,1.0,406.0,2.42,0.27,1.54,0.95,384650.0,499717.0,455258.0
R01-D01-S03,Northmere,2021_01,1680.97,1.9944,278.38,2.441,80.78,198.27,684527.0,148600.0,909.6,144.0,54.0,101.06,1733.76,611.14,0.748,73.87,15.53,52956.0,0.48,2.0,4506.0,57.03,2.12,0.01,0.94,0.0,297715.0,738272.0
R01-D01-S04,Northmere,2021_01,1337.0,1.6664,186.39,3.897,14.06,35.43,1157230.0,243491.0,1034.0,77.0,18.0,74.45,1848.04,398.94,0.684,65.54,12.11,131741.0,0.83,2.0,11686.0,3.75,0.01,3.85,0.45,2139176.0,448281.0,908812.0
R01-D02-S01,Eastfen,2021_01,1040.1,3.1338,365.17,2.891,55.93,88.02,105871.0,22759.0,1011.7,58.0,6.0,5.19,403.13,369.96,0.3,20.13,35.51,7474.0,0.28,0.0,297.0,7.53,1.91,6.69,0.91,2779645.0,2062439.0,63484.0
R01-D02-S02,Eastfen,2021_01,786.49,1.5046,265.94,1.163,41.53,101.13,592232.0,134822.0,919.5,24.0,9.0,12.56,199.54,380.21,0.372,29.24,24.13,48622.0,0.55,1.0,609.0,5.21,0.65,1.36,0.53,0.0,255127.0,1011035.0
R01-D02-S03,Eastfen,2021_01,608.44,1.156,209.43,3.414,65.95,100.43,1031915.0,207272.0,1005.0,30.0,9.0,0.08,431.28,236.27,0.406,45.24,28.03,111432.0,0.33,1.0,3547.0,0.74,0.33,0.39,0.21,1598827.0,1775358.0,0.0
R01-D02-S04,Eastfen,2021_01,1698.07,0.0,0.0,1.509,80.31,121.97,1231940.0,277777.0,1002.4,85.0,14.0,19.57,373.76,631.82,0.3,33.38,28.11,94830.0,0.46,0.0,1677.0,3.75,0.06,1.1,0.29,2083788.0,767836.0,743746.0
R01-D03-S01,Southwater,2021_01,213.25,1.3903,266.76,2.968,46.62,88.68,1193114.0,259345.0,1017.1,7.0,2.0,4.07,140.83,105.57,0.417,53.22,28.17,129920.0,0.42,1.0,7085.0,2.3,0.41,0.38,0.23,2780488.0,653330.0,184312.0
R01-D03-S02,Southwater,2021_01,1223.73,0.6928,83.82,2.839,83.78,166.47,239581.0,59044.0,970.7,68.0,17.0,3.16,327.27,604.23,0.364,42.69,34.34,22576.0,0.16,0.0,1529.0,14.41,0.9,3.74,0.29,2948208.0,7558.0,0.0
R01-D03-S03,Southwater,2021_01,1577.0,0.0,0.0,2.457,62.08,138.81,969664.0,197369.0,945.6,99.0,22.0,31.38,552.84,435.75,0.417,34.96,20.7,96085.0,0.09,0.0,157.0,0.67,0.08,0.42,0.21,0.0,864287.0,137572.0
R01-D03-S04,Southwater,2021_01,986.09,1.0468,127.15,3.487,59.1,147.45,357309.0,85503.0,935.1,32.0,7.0,35.33,598.41,245.34,0.481,49.34,27.99,43853.0,0.16,0.0,1163.0,0.72,0.03,0.09,0.09,0.0,990560.0,0.0
R01-D04-S01,Westmoor,2021_01,728.47,1.2967,256.85,3.244,83.12,192.57,995609.0,209745.0,999.6,34.0,16.0,9.3,653.32,79.03,0.581,58.85,22.22,86480.0,0.35,1.0,6653.0,1.87,0.01,1.21,0.17,1637163.0,788042.0,0.0
R01-D04-S02,Westmoor,2021_01,1665.24,0.0,0.0,0.815,98.18,172.22,279517.0,67648.0,1008.4,45.0,9.0,2.87,1054.16,495.49,0.327,33.09,32.58,27249.0,0.09,0.0,1177.0,22.21,0.39,0.85,0.21,1067980.0,0.0,719877.0
R01-D04-S03,Westmoor,2021_01,490.29,0.0,0.0,2.937,50.18,86.0,781195.0,160574.0,966.9,26.0,5.0,16.55,291.58,123.31,0.395,25.15,24.24,55096.0,0.3,0.0,1488.0,0.93,0.23,3.88,0.13,3770207.0,1617393.0,108259.0
R01-D05-S01,Riverend,2021_01,1334.51,1.5665,275.84,0.913,80.31,161.42,562657.0,115730.0,1044.3,68.0,5.0,19.9,609.46,194.34,0.416,34.07,31.72,40592.0,0.73,1.0,4462.0,19.27,0.74,2.35,0.57,893999.0,1274829.0,420587.0
R01-D05-S02,Riverend,2021_01,1459.47,0.6801,127.82,3.226,80.24,153.18,430380.0,86152.0,1007.5,71.0,16.0,36.75,865.4,416.04,0.673,58.36,14.85,48912.0,0.31,0.0,2653.0,6.98,0.14,0.38,0.49,3015524.0,5644.0,825387.0
R01-D05-S03,Riverend,2021_01,690.03,1.5199,247.63,2.095,71.95,127.27,177707.0,43592.0,930.4,55.0,20.0,0.6,636.13,167.74,0.598,61.66,19.42,22248.0,0.15,0.0,446.0,4.12,0.25,2.51,0.39,2233109.0,0.0,148404.0
R01-D06-S01,Lakeshire,2021_01,518.19,0.7855,153.19,3.018,67.1,116.06,1301840.0,272561.0,964.8,39.0,11.0,23.51,477.81,129.09,0.739,75.04,11.65,157031.0,0.92,2.0,14934.0,3.98,0.16,4.85,0.45,187148.0,641821.0,0.0
R01-D06-S02,Lakeshire,2021_01,1251.38,0.0,0.0,1.955,88.74,207.18,987461.0,244360.0,906.2,104.0,28.0,50.9,1275.52,482.4,0.6,43.26,26.45,88205.0,0.17,0.0,1953.0,7.97,0.01,2.73,0.53,2582003.0,1498635.0,209097.0
R01-D06-S03,Lakeshire,2021_01,793.75,0.0,0.0,2.557,50.84,98.35,247479.0,53171.0,925.6,27.0,18.0,2.78,776.89,163.11,0.578,56.9,16.81,22344.0,0.73,0.0,761.0,12.9,0.12,6.26,0.42,5553683.0,2144857.0,1201115.0
R01-D01-S01,Northmere,2021_02,989.98,1.6986,233.48,0.83,65.12,108.54,1301365.0,305473.0,1046.3,91.0,21.0,77.73,1304.95,191.73,0.836,72.72,6.63,167376.0,0.08,3.0,11595.0,3.69,0.47,6.63,0.82,3575467.0,0.0,353925.0
R01-D01-S02,Northmere,2021_02,1614.92,0.0,0.0,1.798,107.19,272.83,227969.0,53412.0,1039.0,125.0,57.0,61.64,1828.3,627.28,0.664,83.1,9.51,29546.0,0.27,1.0,1278.0,0.01,0.38,1.88,0.43,608214.0,1526301.0,471575.0
R01-D01-S03,Northmere,2021_02,1680.97,0.0,0.0,2.441,102.0,224.62,682438.0,151597.0,909.6,165.0,25.0,46.46,1256.3,413.74,0.64,78.45,13.48,66414.0,0.23,1.0,2816.0,16.93,0.25,4.37,0.77,6335644.0,0.0,653110.0
R01-D01-S04,Northmere,2021_02,1337.0,0.7565,125.7,3.897,39.34,57.42,1146614.0,244256.0,1034.0,82.0,47.0,33.43,1436.5,276.11,0.749,57.58,8.31,105310.0,0.71,1.0,12018.0,9.99,0.42,3.49,0.08,4462312.0,1231585.0,1094766.0
R01-D02-S01,Eastfen,2021_02,1040.1,1.8828,357.66,2.891,30.89,75.69,105686.0,23915.0,1011.7,44.0,11.0,12.31,632.48,125.55,0.3,45.83,26.23,10627.0,0.33,0.0,732.0,7.27,0.48,1.5,0.64,926702.0,1720836.0,0.0
R01-D02-S02,Eastfen,2021_02,786.49,0.703,98.41,1.163,35.27,91.57,572465.0,142306.0,919.5,31.0,8.0,24.26,585.64,275.87,0.442,29.98,26.9,65019.0,0.44,1.0,545.0,6.05,0.58,1.12,0.05,1485329.0,1028698.0,0.0
R01-D02-S03,Eastfen,2021_02,608.44,1.002,126.38,3.414,58.38,83.48,1033051.0,226838.0,1005.0,45.0,7.0,9.67,348.18,84.53,0.308,51.4,29.25,124964.0,0.48,2.0,75.0,3.01,0.2,1.28,0.12,2631164.0,327081.0,740740.0
